allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,1,1,1,1,4,2,3,2,3,1,10,3,1,2,4,1,1,2
1,2,1,1,2,1,4,1,2,3,2,1,2,2,6,2,5,3,2,3
2,2,2,1,2,1,5,1,1,5,2,3,4,5,1,1,1,4,3,1
3,2,0,2,1,3,2,1,2,3,5,2,6,2,1,1,2,4,3,3
4,1,1,1,2,2,2,1,4,6,1,2,8,1,3,3,3,1,0,3
5,3,2,2,3,2,2,3,2,2,2,2,3,2,3,2,3,2,3,2
6,2,2,2,1,1,4,1,1,4,3,3,5,2,1,2,3,2,3,3
7,3,2,3,2,3,2,3,4,2,2,2,2,3,1,1,3,2,3,2
8,2,1,3,2,3,2,3,2,2,2,3,2,2,2,2,3,3,4,2
9,2,2,1,2,1,3,1,3,2,1,5,6,3,1,1,2,3,5,1
10,5,1,1,1,1,2,2,1,4,5,3,4,1,0,2,1,3,4,4
11,1,3,1,4,1,3,1,3,3,3,1,5,2,1,1,2,4,2,4
12,2,2,1,2,2,2,2,3,3,2,4,2,3,3,3,3,2,2,2
13,2,3,3,2,3,2,1,3,2,3,3,2,2,2,2,2,3,3,2
14,2,3,2,3,2,2,1,3,2,3,2,3,3,2,4,1,2,3,2
15,3,1,2,2,3,2,2,2,3,2,3,4,3,2,2,3,2,2,2
16,3,3,4,2,2,2,3,2,2,1,2,3,1,3,3,2,2,2,3
17,2,2,3,2,2,3,3,2,1,2,2,2,2,3,2,4,3,2,3
18,2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3
19,2,2,3,3,2,2,2,2,3,2,3,2,3,2,3,2,2,3,2
20,3,2,2,3,3,2,2,2,3,2,3,3,2,2,2,3,2,2,2
21,2,3,2,3,3,2,4,3,2,2,2,2,2,2,2,2,3,3,1
