allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,2,2,2,2,2,3,3,2,2,2,2,3,3,4,3,2,2,2,2
1,3,1,2,2,3,1,3,2,2,2,3,1,3,2,2,4,3,3,3
2,2,2,2,3,2,2,3,2,2,2,3,3,3,3,2,2,2,3,2
3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,2,3,2,2,2
4,3,3,2,2,2,3,2,2,2,2,2,2,3,2,3,3,3,2,2
5,2,2,2,2,3,2,3,2,2,2,1,3,3,3,3,3,2,3,2
6,4,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,2,2,1
7,2,2,3,3,2,2,2,2,3,2,2,3,2,3,3,2,3,2,2
8,2,2,2,2,2,2,2,2,3,3,1,2,3,2,2,4,3,3,3
9,3,2,1,3,2,2,2,2,2,3,2,3,3,2,3,3,2,3,2
10,3,2,3,3,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2
11,2,1,3,1,3,1,4,2,1,3,4,3,2,3,2,3,2,3,2
12,3,2,3,2,3,3,3,3,2,2,3,2,3,2,2,2,1,2,2
13,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,4,3,3
14,2,4,2,3,2,3,2,3,2,2,2,3,3,3,1,2,1,3,2
15,3,2,2,2,3,2,2,1,2,3,3,4,2,2,2,3,1,3,3
16,4,1,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,2
17,3,2,3,2,1,3,1,3,2,3,3,2,3,2,2,2,2,3,3
18,3,3,2,2,1,2,2,2,3,3,2,3,2,2,2,4,2,2,3
19,3,3,3,3,2,2,2,1,3,2,3,2,2,2,2,2,3,2,3
20,2,2,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2
21,3,3,3,2,2,1,3,2,1,2,3,3,3,3,2,2,3,2,2
22,1,2,2,3,3,3,2,2,2,3,2,2,1,3,2,3,2,4,3
