allocation_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,1,4,2,1,1,5,2,2,1,5,3,3,4,2,1,2,2,2,2
1,4,1,1,1,2,1,1,4,2,4,2,3,2,2,2,4,4,1,4
2,1,2,3,1,1,5,3,2,6,2,2,4,1,1,2,2,2,3,2
3,2,1,2,1,1,4,2,2,4,3,1,5,2,1,3,2,4,3,2
4,1,3,1,2,1,6,2,1,2,7,1,5,1,3,2,1,1,1,4
5,1,1,2,1,1,3,3,2,4,4,2,6,2,1,1,5,2,3,1
6,3,2,1,3,1,6,2,2,4,3,1,3,3,2,1,1,2,3,2
7,1,2,1,1,1,2,2,3,2,4,4,6,1,4,1,1,3,3,3
8,1,2,1,1,1,1,2,1,1,7,3,6,1,5,2,3,3,3,1
9,2,2,1,1,1,3,3,4,2,1,4,5,4,2,1,2,2,1,4
10,1,1,2,2,1,3,2,1,2,4,3,6,2,2,3,2,5,1,2
11,2,2,3,3,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2
12,3,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,4,2,3
13,3,2,3,2,2,3,2,2,3,2,2,2,2,2,3,3,2,3,2
14,3,3,2,3,2,2,2,2,3,2,2,2,2,3,3,2,3,2,2
15,2,2,2,2,2,3,2,2,3,3,2,3,2,2,3,3,2,2,3
16,1,1,1,1,1,4,1,3,6,4,3,4,3,2,1,1,2,3,3
17,3,2,3,2,3,2,2,2,3,2,2,3,2,2,2,3,2,2,3
18,3,3,2,3,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2
19,3,2,2,2,3,3,3,3,2,3,2,2,2,2,2,3,2,2,2
20,3,2,2,3,3,2,3,2,2,2,3,2,3,3,3,3,1,1,2
