ambulance_id,seconds_worked
0,25535
1,8682
2,24160
3,16135
4,17292
5,17913
6,26466
7,6588
8,9882
9,3177
10,28031
11,19831
12,19135
13,11478
14,8723
15,20040
16,21552
17,5500
18,12660
19,9560
20,14090
21,3675
22,22268
23,13686
24,18861
25,20662
26,27250
27,27014
28,26920
29,20826
30,25966
31,21559
32,13150
33,6442
34,22612
35,29829
36,21538
37,16023
38,20871
39,23641
40,9031
41,28654
42,19191
43,10737
44,21003
45,11582
46,17598
47,23778
48,23760
49,11766
50,30998
51,28849
52,22060
53,20575
54,24574
