ambulance_id,seconds_worked
0,6961
1,23741
2,22002
3,12021
4,15650
5,16074
6,16707
7,11200
8,15499
9,9655
10,19931
11,13055
12,26567
13,10317
14,11652
15,32661
16,20901
17,25857
18,23345
19,23288
20,12749
21,16763
22,13038
23,1767
24,15740
25,20809
26,19251
27,14017
28,14332
29,23837
30,16439
31,20007
32,25297
33,22671
34,16041
35,22550
36,24892
37,13656
38,25356
39,24225
40,24595
41,16371
42,8067
43,22196
44,19626
45,13279
46,24655
47,15675
48,11900
49,21027
50,15571
51,1096
52,17134
53,25063
54,14444
