ambulance_id,seconds_worked
0,19119
1,26369
2,9473
3,19799
4,32960
5,25572
6,26872
7,15374
8,24407
9,18147
10,12473
11,21712
12,24106
13,21631
14,25201
15,16237
16,17616
17,24123
18,22650
19,7743
20,10818
21,27951
22,32670
23,27396
24,27302
25,36243
26,30698
27,22900
28,29567
29,17676
30,33420
31,29435
32,14523
33,18207
34,25861
35,21158
36,27405
37,29031
38,6991
39,23943
40,17146
41,23728
42,17528
43,31401
44,23601
45,18464
46,24813
47,27679
48,40592
49,16227
50,17740
51,19914
52,24612
53,23467
54,23385
55,18941
56,30341
57,25417
58,32948
